image_id,deep_feature_000,deep_feature_001,deep_feature_002,deep_feature_003,deep_feature_004,deep_feature_005,deep_feature_006,deep_feature_007,deep_feature_008,deep_feature_009,deep_feature_010,deep_feature_011,deep_feature_012,deep_feature_013,deep_feature_014,deep_feature_015,deep_feature_016,deep_feature_017,deep_feature_018,deep_feature_019,deep_feature_020,deep_feature_021,deep_feature_022,deep_feature_023,deep_feature_024,deep_feature_025,deep_feature_026,deep_feature_027,deep_feature_028,deep_feature_029,deep_feature_030,deep_feature_031,deep_feature_032,deep_feature_033,deep_feature_034,deep_feature_035,deep_feature_036,deep_feature_037,deep_feature_038,deep_feature_039,deep_feature_040,deep_feature_041,deep_feature_042,deep_feature_043,deep_feature_044,deep_feature_045,deep_feature_046,deep_feature_047,deep_feature_048,deep_feature_049,deep_feature_050,deep_feature_051,deep_feature_052,deep_feature_053,deep_feature_054,deep_feature_055,deep_feature_056,deep_feature_057,deep_feature_058,deep_feature_059,deep_feature_060,deep_feature_061,deep_feature_062,deep_feature_063,deep_feature_064,deep_feature_065,deep_feature_066,deep_feature_067,deep_feature_068,deep_feature_069,deep_feature_070,deep_feature_071,deep_feature_072,deep_feature_073,deep_feature_074,deep_feature_075,deep_feature_076,deep_feature_077,deep_feature_078,deep_feature_079,deep_feature_080,deep_feature_081,deep_feature_082,deep_feature_083,deep_feature_084,deep_feature_085,deep_feature_086,deep_feature_087,deep_feature_088,deep_feature_089,deep_feature_090,deep_feature_091,deep_feature_092,deep_feature_093,deep_feature_094,deep_feature_095
cnn_tile_000,0.123909585,-0.23135297,-0.7805845,-0.508541,-0.4517753,-0.35739216,-0.23303328,0.9743856,-0.63780713,-0.74209654,0.87290436,-0.3637019,-0.38775313,-0.74384034,-0.9843101,-0.9201843,0.9145067,-0.9720481,0.4401201,0.73715544,0.56827116,-0.95529115,-0.29822108,-0.43588278,0.8887126,-0.88919324,0.7769329,0.8549836,0.1729505,0.9962877,0.5470158,-0.93461806,-0.13772312,-0.76636004,0.53222096,0.8260482,0.8817445,-0.83956856,-0.8408481,0.8539132,0.06288367,0.8634971,-0.4175015,-0.7344856,-0.06154056,-0.48831156,-0.043030728,-0.092169315,0.9831933,0.9299735,-0.89782757,-0.5416529,-0.50451976,0.5163428,0.97488964,-0.87262946,-0.8322649,0.6724011,-0.51232606,-0.12904888,-0.041907817,0.9740536,0.67905015,0.91517216,0.2637602,0.23488802,0.8028885,0.91682976,-0.995313,0.48625004,-0.025260083,0.28455165,-0.051834993,-0.5339768,0.83500296,0.21431105,0.4962059,0.1888928,0.022332732,-0.90790755,-0.9829739,-0.0541094,0.95907354,-0.59936625,0.94712764,0.5478165,-0.82233447,-0.97826797,-0.00824933,-0.15625095,-0.102560714,-0.6602214,0.049396142,-0.8424528,-0.72191024,0.71911365
cnn_tile_001,0.026578236,-0.5066682,-0.76905763,-0.36339387,-0.39117697,-0.44309047,-0.24387242,0.9781962,-0.6242692,-0.6777247,0.91908395,-0.46509662,-0.35820258,-0.8423535,-0.97669667,-0.88448125,0.8979275,-0.97588307,0.38057497,0.75308913,0.73923826,-0.95445,-0.48646003,-0.43960965,0.8884024,-0.8769741,0.7669688,0.87924284,0.31020102,0.9958664,0.48658082,-0.91518784,0.05439553,-0.8257404,0.3482481,0.80969757,0.84491307,-0.87012583,-0.8439707,0.88166004,0.15481019,0.8525993,-0.41314235,-0.6958487,-0.2506143,-0.6142078,0.009039804,-0.10072726,0.9914022,0.9480887,-0.9191026,-0.3892669,-0.6524717,0.5129389,0.9866598,-0.83714616,-0.8338488,0.60464233,-0.4003191,-0.05994815,-0.17439857,0.97204256,0.5534455,0.925594,0.026410367,0.45810622,0.81304044,0.92206365,-0.9960644,0.47534022,-0.0809555,0.2470047,-0.12521824,-0.46872813,0.86742127,0.2513395,0.38860005,0.15159892,0.059664037,-0.9122844,-0.9787931,0.016889978,0.95104206,-0.63139325,0.9571512,0.61679274,-0.80096656,-0.97743475,-0.20959617,-0.26025626,-0.1724018,-0.37366927,-0.084088445,-0.8694573,-0.5540227,0.7850234
cnn_tile_002,-0.003954945,-0.48429278,-0.7860423,-0.26554665,-0.30884862,-0.5307997,-0.44506845,0.9814253,-0.5871882,-0.7354598,0.90452844,-0.26990318,-0.4591852,-0.8573883,-0.9769226,-0.89288765,0.9209064,-0.9719112,0.44114688,0.60361683,0.62912196,-0.96065366,-0.3428382,-0.32596987,0.92359567,-0.8934286,0.7280148,0.88474447,-0.053358406,0.99626625,0.28506225,-0.9383623,0.1918659,-0.8018084,0.46467948,0.71863204,0.8455124,-0.90070635,-0.81000257,0.8534103,-0.04261298,0.8442042,-0.38580972,-0.6566364,-0.09220733,-0.5769019,0.0908343,-0.07284762,0.9856528,0.9331957,-0.920608,-0.49897966,-0.7424753,0.48639426,0.9726433,-0.842512,-0.8504452,0.6366661,-0.51900136,0.1255132,-0.048777,0.9598827,0.6360045,0.9439702,0.052201934,0.2891434,0.776367,0.92767733,-0.9945078,0.46158493,0.3159556,0.23510689,-0.27286276,-0.6589867,0.9114169,0.39538142,0.5145278,-0.0005817264,-0.0438248,-0.89987975,-0.9767324,-0.23285678,0.9496249,-0.5795449,0.9652322,0.5368299,-0.74326444,-0.9749,-0.27562454,-0.1125185,-0.03885791,-0.60640645,0.042773064,-0.84319156,-0.70131093,0.5861197
cnn_tile_003,0.06806024,-0.364883,-0.78218746,-0.35618573,-0.38931182,-0.4375888,-0.40124246,0.97381,-0.46401134,-0.7614718,0.87701434,-0.28466722,-0.4139379,-0.91361284,-0.9718187,-0.9189561,0.9026954,-0.95795244,0.5528736,0.6956312,0.73655313,-0.9486837,-0.3202524,-0.4284099,0.8811167,-0.9227497,0.7964432,0.8554029,0.10863193,0.9965871,0.31642774,-0.93510234,0.08817138,-0.81256664,0.35764664,0.66651005,0.85661316,-0.90540123,-0.8426452,0.8710818,-0.17146888,0.78375137,-0.3923784,-0.59325653,-0.26936254,-0.64143205,0.17966941,-0.22742401,0.98454225,0.9105433,-0.88346857,-0.43212727,-0.7075458,0.5054541,0.9780644,-0.80705297,-0.7841691,0.5297955,-0.45940614,-0.10673237,-0.029154768,0.9657921,0.50542104,0.93607086,0.1704998,0.48815238,0.78993857,0.89347327,-0.9956847,0.4657229,0.088197954,0.067276314,-0.059270866,-0.5280352,0.8731885,0.12729666,0.47316676,0.2846326,0.14504835,-0.9075911,-0.974167,-0.18267469,0.9643307,-0.5177153,0.95351046,0.5707966,-0.7659953,-0.9744193,-0.018924953,0.023268329,-0.08404462,-0.46794146,0.19617917,-0.8036223,-0.56014717,0.5655427
cnn_tile_004,0.08590303,-0.40618113,-0.76401854,-0.26737446,-0.42726767,-0.39003074,-0.48717642,0.97632545,-0.67508256,-0.6537496,0.8479668,-0.42886946,-0.34210485,-0.8140782,-0.97609854,-0.9298055,0.91399294,-0.96990293,0.50355667,0.6203245,0.5176649,-0.9411254,-0.442177,-0.37535563,0.9128952,-0.8861952,0.83774287,0.8297541,0.073455326,0.994164,0.27276054,-0.9201088,0.2521047,-0.74299794,0.31255203,0.83318764,0.85708964,-0.88374585,-0.82242924,0.878969,-0.0030725203,0.9289959,-0.24784411,-0.63876396,-0.2772503,-0.49815938,0.09498275,-0.11762714,0.9805079,0.9519383,-0.9146288,-0.55152935,-0.6813449,0.5215113,0.9852062,-0.784591,-0.83694494,0.6269283,-0.3364109,-0.18128438,-0.0027303684,0.9608067,0.561981,0.9151614,0.3535289,0.409917,0.74898165,0.9331257,-0.9958808,0.48103604,0.114682466,0.3879274,-0.13807242,-0.60979277,0.8732016,0.16613778,0.4852643,0.03878947,-0.01423829,-0.9215577,-0.9675887,-0.01583648,0.9722515,-0.62244755,0.9704896,0.7786825,-0.78374946,-0.97501963,-0.13655624,-0.31990728,-0.19430225,-0.5909305,-0.021364104,-0.88496774,-0.6175965,0.644616
cnn_tile_005,0.061599568,-0.37896606,-0.8258028,-0.2145568,-0.40276045,-0.39694074,-0.33972734,0.97682613,-0.6713494,-0.6467036,0.8698453,-0.4696783,-0.30253857,-0.7626013,-0.9802189,-0.9231147,0.905308,-0.970488,0.3827104,0.6546265,0.6351699,-0.9578436,-0.47642463,-0.4363557,0.9086406,-0.91215473,0.7959046,0.88737035,0.13335817,0.9944308,0.40706843,-0.8976643,0.39697373,-0.8270714,0.3705821,0.86195666,0.7950108,-0.8861143,-0.8169478,0.8693108,0.034625303,0.91167516,-0.22572047,-0.7412098,-0.26116192,-0.43023524,0.13097623,-0.0007216631,0.98051846,0.9497704,-0.8917476,-0.5565277,-0.684167,0.5637336,0.9847949,-0.81612474,-0.8357169,0.69095814,-0.31668723,-0.133117,-0.1449952,0.9515528,0.66896546,0.9223494,0.14551657,0.48536325,0.75500417,0.9313794,-0.995964,0.41258034,0.22236075,0.27714097,-0.16855952,-0.5731388,0.89518553,0.032823727,0.514767,0.14045812,0.023233725,-0.8968395,-0.9799063,0.037669316,0.9709077,-0.5000461,0.9576959,0.6777252,-0.71783435,-0.97342664,-0.32116184,-0.16964896,-0.16210812,-0.46918938,0.027010232,-0.86471933,-0.55731094,0.64300895
cnn_tile_006,0.10273931,-0.3306778,-0.80151385,-0.42349103,-0.37704268,-0.46619985,-0.304067,0.97977525,-0.65826625,-0.66710675,0.86980546,-0.3912595,-0.27059752,-0.8495333,-0.9779929,-0.912557,0.9064873,-0.97103965,0.3775464,0.74811614,0.6375039,-0.9637288,-0.49349838,-0.45844162,0.89296085,-0.88999104,0.75427824,0.8661616,0.0394203,0.9967212,0.40903684,-0.9223353,0.18627954,-0.81916726,0.33560988,0.85018444,0.85296226,-0.76638544,-0.86152756,0.8688111,-0.05916587,0.9297466,-0.2513353,-0.68247867,-0.23585248,-0.5258311,0.23058051,-0.10245121,0.9880441,0.9424357,-0.9072379,-0.50662315,-0.7328534,0.53065914,0.97817403,-0.85902745,-0.82839835,0.58706045,-0.4388427,-0.027527424,-0.07707246,0.97169524,0.67589074,0.9273826,0.35191736,0.21832488,0.769121,0.91651726,-0.99650544,0.38326013,0.049514413,0.39921448,-0.075808756,-0.4730794,0.8886333,0.20766845,0.40567046,0.08361515,0.13489333,-0.9244411,-0.9797268,-0.0048895534,0.9635677,-0.686728,0.9558855,0.69245386,-0.7359212,-0.9760319,-0.22630554,-0.38381833,-0.14264297,-0.52137303,0.09204036,-0.8745895,-0.6080318,0.6634591
cnn_tile_007,-0.08548282,-0.4505358,-0.79153633,-0.19966556,-0.39656308,-0.49201337,-0.29417613,0.9785035,-0.6600632,-0.692669,0.90162396,-0.1737343,-0.35687846,-0.8044654,-0.981213,-0.91522056,0.92868227,-0.9730019,0.4502844,0.6859883,0.5972827,-0.96454614,-0.58287555,-0.34875518,0.89365697,-0.8969422,0.74828416,0.85857064,0.09521199,0.9965391,0.42594817,-0.8918661,0.24575679,-0.8107239,0.28838214,0.7509192,0.84901106,-0.86538917,-0.802113,0.8963849,-0.011377939,0.86945564,-0.38023636,-0.71480584,-0.20059952,-0.31216738,0.23500203,-0.060292855,0.9890968,0.9473796,-0.8886396,-0.50744724,-0.74324113,0.5234677,0.9765949,-0.8059038,-0.8741764,0.6758029,-0.46707165,0.07396255,-0.05322581,0.96813244,0.68537927,0.9307222,0.04237085,0.31830165,0.7490941,0.9349166,-0.9962962,0.42997238,0.18852739,0.2595883,-0.05540452,-0.52251244,0.8725289,0.30761033,0.4806722,0.086185165,0.13781872,-0.8825307,-0.97625554,-0.0505911,0.9558183,-0.5746071,0.95511836,0.65640765,-0.7581472,-0.96914715,-0.2942945,-0.20216556,-0.07333983,-0.55924284,0.02239641,-0.83673394,-0.6635796,0.7524034
cnn_tile_008,-0.00063017936,-0.3991253,-0.8334706,-0.30372208,-0.32619902,-0.4224706,-0.2871781,0.97787035,-0.61484736,-0.71587497,0.8797938,-0.30188096,-0.2880252,-0.80834186,-0.9816084,-0.90279275,0.9087251,-0.9738198,0.32169518,0.7776833,0.58313924,-0.9464808,-0.63141143,-0.3604708,0.8761918,-0.8881318,0.74365723,0.8762092,-0.055182297,0.9968141,0.41625986,-0.92451704,0.2526057,-0.8075618,0.4356602,0.75519556,0.86126435,-0.8345478,-0.8461594,0.89611006,-0.07595614,0.89448535,-0.42777082,-0.68822455,-0.30556113,-0.64033777,0.13597618,-0.11369744,0.98004633,0.9361015,-0.9192494,-0.36604866,-0.6757775,0.66840523,0.9814582,-0.8408746,-0.82305837,0.5543647,-0.3705292,-0.17534089,-0.107394636,0.9630609,0.53696895,0.9226457,0.21152465,0.29492345,0.80527157,0.9363969,-0.99576825,0.5701768,0.26369977,0.3360941,-0.18532944,-0.59832686,0.90384316,0.17894547,0.470047,0.223824,0.05999836,-0.9195578,-0.985401,0.20807847,0.96668,-0.43555623,0.9648596,0.61532235,-0.77512145,-0.96275604,-0.3384032,-0.19847573,-0.07908755,-0.60139567,-0.049428057,-0.82246596,-0.71632653,0.67529464
cnn_tile_009,-0.04582386,-0.4113783,-0.73661864,-0.3434907,-0.18474838,-0.4086213,-0.38724053,0.9675738,-0.64204276,-0.7077054,0.8925694,-0.26733112,-0.3047402,-0.83680093,-0.9727967,-0.9005898,0.911038,-0.97497433,0.32391682,0.69818324,0.712463,-0.9629824,-0.37461883,-0.4450175,0.8969504,-0.8809445,0.7958408,0.83700514,0.24071929,0.9968551,0.28938383,-0.9188075,0.0032056405,-0.8691025,0.290073,0.8176508,0.861635,-0.8732044,-0.85993886,0.79945666,0.004788869,0.84647214,-0.18236451,-0.6701848,-0.3162267,-0.4639353,0.3194403,-0.14779091,0.98758847,0.9239307,-0.91090685,-0.29501107,-0.7793578,0.57597196,0.98238117,-0.8248347,-0.8610074,0.5309886,-0.5143218,-0.00495188,-0.22259553,0.9653762,0.5530555,0.93884087,0.15784134,0.29163647,0.7617934,0.9267683,-0.9966945,0.4280809,0.06696986,0.39508033,-0.24800302,-0.43643034,0.8806399,-0.14336668,0.5409285,0.093133576,-0.056847945,-0.9281442,-0.97798616,-0.12542173,0.9520945,-0.6507488,0.9485493,0.5915545,-0.76232296,-0.9794224,-0.29771596,-0.1857449,-0.17667167,-0.31953612,-0.03340049,-0.84806466,-0.6180053,0.52570724
