image_id,deep_feature_000,deep_feature_001,deep_feature_002,deep_feature_003,deep_feature_004,deep_feature_005,deep_feature_006,deep_feature_007,deep_feature_008,deep_feature_009,deep_feature_010,deep_feature_011,deep_feature_012,deep_feature_013,deep_feature_014,deep_feature_015,deep_feature_016,deep_feature_017,deep_feature_018,deep_feature_019,deep_feature_020,deep_feature_021,deep_feature_022,deep_feature_023,deep_feature_024,deep_feature_025,deep_feature_026,deep_feature_027,deep_feature_028,deep_feature_029,deep_feature_030,deep_feature_031,deep_feature_032,deep_feature_033,deep_feature_034,deep_feature_035,deep_feature_036,deep_feature_037,deep_feature_038,deep_feature_039,deep_feature_040,deep_feature_041,deep_feature_042,deep_feature_043,deep_feature_044,deep_feature_045,deep_feature_046,deep_feature_047,deep_feature_048,deep_feature_049,deep_feature_050,deep_feature_051,deep_feature_052,deep_feature_053,deep_feature_054,deep_feature_055,deep_feature_056,deep_feature_057,deep_feature_058,deep_feature_059,deep_feature_060,deep_feature_061,deep_feature_062,deep_feature_063,deep_feature_064,deep_feature_065,deep_feature_066,deep_feature_067,deep_feature_068,deep_feature_069,deep_feature_070,deep_feature_071,deep_feature_072,deep_feature_073,deep_feature_074,deep_feature_075,deep_feature_076,deep_feature_077,deep_feature_078,deep_feature_079,deep_feature_080,deep_feature_081,deep_feature_082,deep_feature_083,deep_feature_084,deep_feature_085,deep_feature_086,deep_feature_087,deep_feature_088,deep_feature_089,deep_feature_090,deep_feature_091,deep_feature_092,deep_feature_093,deep_feature_094,deep_feature_095,deep_feature_096,deep_feature_097,deep_feature_098,deep_feature_099,deep_feature_100,deep_feature_101,deep_feature_102,deep_feature_103,deep_feature_104,deep_feature_105,deep_feature_106,deep_feature_107,deep_feature_108,deep_feature_109,deep_feature_110,deep_feature_111,deep_feature_112,deep_feature_113,deep_feature_114,deep_feature_115,deep_feature_116,deep_feature_117,deep_feature_118,deep_feature_119,deep_feature_120,deep_feature_121,deep_feature_122,deep_feature_123,deep_feature_124,deep_feature_125,deep_feature_126,deep_feature_127
synthetic_tile_000,0.6988599,0.930326,0.17941909,0.2916786,-0.014241686,-0.69222254,0.18088196,0.9509677,0.8726694,0.9635635,0.95548874,0.1593791,-0.44066507,-0.33402988,0.13771394,-0.64197785,0.42972758,-0.37521732,-0.3971681,0.7254635,-0.8366244,0.18712045,-0.98495287,-0.6332808,0.79620373,-0.6115229,0.7999213,-0.6122458,-0.8487603,-0.14735723,0.46477836,-0.15715198,0.87646425,0.9718222,0.9651725,0.067527995,0.7037822,0.91494334,-0.7621976,0.86156094,-0.024654621,0.96664107,0.073680356,0.9692302,0.99072355,0.6196899,-0.8893583,0.717961,0.9474389,0.4690137,-0.9898277,-0.028426552,-0.96518373,0.70619774,-0.7792277,0.6780612,0.89918673,-0.69030064,-0.6452069,-0.10439329,-0.22014132,0.2741036,-0.791657,-0.79523844,-0.7993165,-0.12626714,-0.3568942,-0.77751446,0.094738476,0.9149602,-0.77397233,-0.5476814,-0.51608044,0.5028745,0.85810804,-0.47229204,0.93263966,-0.065900385,-0.40350652,-0.99941957,0.49712572,0.86630875,-0.9645603,0.004674207,-0.69821185,0.52486956,-0.8282168,-0.56973153,0.30958095,0.9071538,0.94469655,0.39780802,0.64676756,-0.14987597,-0.2088936,-0.9382933,-0.24470949,0.08095839,0.33677962,-0.65005744,-0.6552825,0.24544244,0.68532145,-0.04416919,-0.9320437,0.004475571,-0.9201734,0.6065166,0.39895713,0.43841183,0.89394146,0.94823647,-0.75450736,0.98731893,0.85571545,-0.90062124,-0.9880839,-0.7815789,0.33704674,-0.8141575,-0.95876735,0.53832895,0.37425753,-0.9782132,-0.060649745,0.32655224,0.6566455,-0.9232169
synthetic_tile_001,0.78097326,0.86390674,0.26248935,0.41477138,-0.36950478,-0.75211114,0.45359147,0.9169013,0.9088936,0.96900505,0.94297665,-0.05189653,-0.12773098,0.10853688,0.04519238,-0.4384722,0.27730992,-0.30285951,-0.3816556,0.55290717,-0.82208306,0.25796613,-0.9744436,-0.7019405,0.67420906,-0.67520165,0.78706133,-0.71186733,-0.7146705,0.19757783,0.53184247,-0.0010055896,0.90527815,0.9653553,0.9734143,0.012390724,0.6833632,0.9088699,-0.86226255,0.90100604,0.14271237,0.97584105,0.33683848,0.97847086,0.9886215,0.5458242,-0.8555736,0.822769,0.92001134,0.511719,-0.98090553,0.1981055,-0.9639428,0.8917508,-0.7823113,0.7494108,0.8995683,-0.65814596,-0.6041459,-0.27542204,-0.36627024,0.18305221,-0.85092974,-0.74536324,-0.7275643,-0.09901563,-0.28169134,-0.6624822,0.19402786,0.92254156,-0.84735554,-0.56148446,-0.43652877,0.5269492,0.8471539,-0.34648064,0.928642,-0.09314629,-0.4282841,-0.99913126,0.4625237,0.90762323,-0.96413064,0.299609,-0.90018946,0.23538755,-0.9017013,-0.47771198,0.37017497,0.91952974,0.92551,0.46621314,0.7298461,0.009168055,-0.18632028,-0.924569,-0.07938526,0.08373778,0.25546587,-0.6032933,-0.64974535,0.23091099,0.62944067,0.2854607,-0.90340835,0.10569272,-0.8442203,0.77045393,0.31390077,0.50760466,0.8555113,0.9550854,-0.3656888,0.98048115,0.87844086,-0.8868199,-0.9896732,-0.7065645,0.3202875,-0.9093201,-0.92892516,0.5377686,0.37115115,-0.9864689,-0.4181149,0.45319724,0.8058568,-0.9397521
synthetic_tile_002,0.6537594,0.8933782,0.19433203,0.37323606,-0.16121179,-0.6704783,0.28650805,0.9371282,0.8894059,0.9726256,0.9276586,0.19110088,-0.28666756,-0.12147797,0.16049884,-0.58126557,0.3614842,-0.20891875,-0.38627374,0.65187806,-0.8194802,0.35438678,-0.9801556,-0.71021134,0.82407707,-0.67307866,0.85550255,-0.7542768,-0.82940567,0.16617621,0.41436285,0.025706513,0.9429637,0.9647468,0.961767,-0.17350045,0.5718975,0.87918204,-0.8672039,0.88500625,0.21569234,0.9718928,0.055192683,0.98736846,0.9893947,0.5179045,-0.8104822,0.8187788,0.92848545,0.4569164,-0.98873186,0.11589842,-0.9758954,0.8091171,-0.8262649,0.6385968,0.89397436,-0.7483323,-0.6359409,-0.28634465,-0.2544246,0.25639197,-0.75524706,-0.790918,-0.7078105,0.1240665,-0.12933592,-0.81221646,0.14495464,0.88884395,-0.79908305,-0.7470342,-0.56413925,0.5513885,0.8542692,-0.2952888,0.95155793,-0.052061096,-0.47097245,-0.99945843,0.50983703,0.8696305,-0.9561719,0.1686413,-0.8747906,0.20889124,-0.86280555,-0.49687773,0.120990075,0.8904645,0.92240995,0.5608227,0.7088833,-0.07844122,-0.2681156,-0.9097184,-0.24202706,0.25376654,0.32119498,-0.60634905,-0.8146351,0.28725415,0.36282575,0.3372348,-0.88623875,0.06439683,-0.9040332,0.69547814,0.38763595,0.4536077,0.854338,0.95569205,-0.65330356,0.97250235,0.8282092,-0.8861374,-0.9871874,-0.7480573,0.28554055,-0.8747581,-0.9554808,0.4001921,0.4339518,-0.9864716,-0.33278432,0.40760934,0.7123886,-0.9361845
synthetic_tile_003,0.65944415,0.9055284,0.31261605,0.35137832,-0.15201157,-0.7089147,0.25795418,0.9447879,0.89736474,0.9817518,0.93679917,0.08375878,-0.28285497,-0.02119343,0.09987362,-0.35139108,0.34581777,-0.25147188,-0.57911444,0.65117335,-0.8665474,0.38919222,-0.97617185,-0.6337704,0.8086174,-0.74025464,0.74110407,-0.72472703,-0.84303236,-0.01902482,0.40288445,-0.03645252,0.91153437,0.9644054,0.97728837,-0.0003031194,0.67778397,0.92352396,-0.8005328,0.8101022,-0.019245528,0.9706438,-0.00021457672,0.9892103,0.98981756,0.41809323,-0.8640776,0.8042377,0.9286658,0.42253,-0.9866069,-0.011316587,-0.9786565,0.77036434,-0.83870894,0.7015544,0.884075,-0.7619989,-0.61526483,-0.32373562,-0.21253793,0.3246703,-0.86653703,-0.80531794,-0.7827947,0.25421038,-0.43362862,-0.7872379,-0.057072394,0.9064308,-0.84948456,-0.67116755,-0.52159643,0.5205107,0.88815284,-0.34179956,0.9470514,-0.23393789,-0.5954537,-0.99966806,0.59383804,0.8556644,-0.9700031,-0.028547114,-0.8899184,0.35121816,-0.874204,-0.36753437,0.43015718,0.8889072,0.94415337,0.5797182,0.80412656,-0.2136316,-0.47815633,-0.88628435,-0.2115937,0.2443507,0.06502744,-0.67235184,-0.8354222,0.2180781,0.42117903,0.35508734,-0.8514593,-0.049120672,-0.9014204,0.6780186,0.16327387,0.50473243,0.86422986,0.9571054,-0.54959124,0.97361076,0.8362686,-0.8731949,-0.98981684,-0.76524454,0.36515084,-0.8706035,-0.97146845,0.4527562,0.42338577,-0.9869494,-0.28260472,0.37579277,0.7428276,-0.8979427
synthetic_tile_004,0.6136503,0.9127067,0.23218668,0.41810867,-0.11620032,-0.6952287,0.30274856,0.95003223,0.845992,0.97878486,0.9320481,0.22491151,-0.4492448,-0.15522005,0.17574574,-0.6169887,0.39420202,-0.24278037,-0.20203702,0.72936016,-0.8164719,0.35666445,-0.9766026,-0.6470978,0.8112921,-0.6947034,0.8422289,-0.61269057,-0.80157447,-0.08802183,0.38370743,-0.11618614,0.88730323,0.9800164,0.97162926,0.0067592724,0.6196791,0.8995858,-0.8678388,0.7942722,0.18585323,0.959058,0.10278664,0.9882578,0.99042666,0.38069168,-0.8459521,0.8100152,0.93878883,0.44677174,-0.9877889,-0.011720177,-0.97782373,0.72099954,-0.82620966,0.7052374,0.86490583,-0.74069715,-0.6510459,-0.15585542,-0.29150593,0.2930959,-0.8223401,-0.81888616,-0.78740406,0.0098995315,-0.25531787,-0.76814854,-0.11022586,0.908582,-0.7504662,-0.687693,-0.47166535,0.48303157,0.8352708,-0.3985967,0.93832415,-0.27775335,-0.4797629,-0.999544,0.48014823,0.8400016,-0.9627297,0.072712556,-0.8588483,0.49729759,-0.856374,-0.4723535,0.19141583,0.8898095,0.93723786,0.5168155,0.77895,-0.07984023,-0.33602586,-0.91165656,-0.20144427,0.20383617,0.2504447,-0.7097458,-0.6767621,0.21582244,0.3972975,0.044372935,-0.8984902,-0.08020658,-0.93225014,0.73017275,0.37096268,0.33692187,0.81304485,0.96834874,-0.6107726,0.9750832,0.84913784,-0.8839002,-0.9823769,-0.760533,0.23167016,-0.8620733,-0.9609894,0.46407786,0.45243073,-0.9859503,-0.042933952,0.40133724,0.71727157,-0.91989
synthetic_tile_005,0.65332735,0.8889746,0.27497244,0.38078913,-0.07261703,-0.6632651,0.31442818,0.94724363,0.8774942,0.96698123,0.92410284,0.21042103,-0.45795494,-0.021367932,0.169216,-0.42027706,0.41026306,-0.19153069,-0.249199,0.6423074,-0.82660806,0.24553902,-0.9744944,-0.62717086,0.85576266,-0.7338868,0.83223915,-0.6431815,-0.83425874,-0.105054185,0.3719135,0.05456094,0.88558596,0.9799807,0.9766985,-0.08343673,0.66742635,0.8675868,-0.8620235,0.77664,0.2375322,0.97903174,0.23151422,0.9874433,0.989436,0.38502225,-0.83298475,0.8183101,0.9179866,0.4119304,-0.9908689,0.05942976,-0.98512447,0.7646871,-0.86291414,0.68321127,0.8854192,-0.7615993,-0.62261635,-0.23835172,-0.1771881,0.1359688,-0.81088555,-0.7870857,-0.7883126,0.08290582,-0.19955994,-0.7565695,0.048830416,0.9236623,-0.8523058,-0.6517742,-0.5064511,0.529077,0.8106822,-0.5312036,0.9163439,-0.27378246,-0.5361023,-0.99931556,0.6186919,0.8778264,-0.95356476,0.1553821,-0.9080188,0.38126647,-0.86842483,-0.44382745,0.18665041,0.9023861,0.9301139,0.56705314,0.7830731,0.032607943,-0.38210487,-0.92664385,-0.01534851,-0.06436917,0.32082665,-0.7375739,-0.709943,0.20489225,0.32762805,0.1112823,-0.8782838,0.08542952,-0.93904626,0.75185776,0.32480025,0.48473215,0.76120305,0.9673256,-0.59786975,0.9761766,0.8254438,-0.8756959,-0.9869024,-0.6175573,0.14323999,-0.86293226,-0.9550025,0.5005596,0.5377732,-0.9823379,-0.17632176,0.58001465,0.78280246,-0.89698136
synthetic_tile_006,0.6690751,0.9011723,0.26661283,0.34095377,-0.10850722,-0.6535816,0.25239083,0.9276194,0.9193972,0.9806392,0.9234441,0.15107353,-0.26352316,0.0150292525,0.09794887,-0.57247883,0.3976138,-0.25896543,-0.4828462,0.69425297,-0.80507255,0.36478487,-0.97661984,-0.6539933,0.82837,-0.72448426,0.8447594,-0.630891,-0.775792,0.2226342,0.39453974,-0.051030908,0.9109724,0.95290154,0.9725175,-0.012445046,0.6626424,0.9067182,-0.8386917,0.79610485,0.10652101,0.9509097,0.052113842,0.9905239,0.9907953,0.42399538,-0.8568594,0.84002924,0.94830763,0.49862257,-0.98352927,0.0058581196,-0.98029524,0.76048857,-0.7633026,0.65227365,0.9013246,-0.72776556,-0.61664575,-0.24172798,-0.100711435,0.2761168,-0.8357023,-0.7845606,-0.8060082,0.23219876,-0.12215554,-0.7605967,-0.09206342,0.91857976,-0.8540857,-0.6618707,-0.6514043,0.3811969,0.8300254,-0.3184408,0.95541507,-0.24284415,-0.47732133,-0.9995865,0.3721102,0.8786824,-0.96680516,0.0826527,-0.8618521,0.425302,-0.86048,-0.38077676,0.30374467,0.92037535,0.9303034,0.44689527,0.7803157,0.040320527,-0.29764158,-0.91373354,-0.019359196,0.3213992,0.15807429,-0.6297379,-0.7648568,0.27292335,0.41876632,0.24960585,-0.8409269,-0.007870758,-0.9167026,0.6397199,0.26263434,0.338932,0.8661142,0.9717865,-0.6137831,0.9753918,0.8656283,-0.9050318,-0.9890679,-0.82832944,0.23486145,-0.8798033,-0.94927245,0.35498393,0.38721883,-0.98465824,-0.33196723,0.438143,0.69985867,-0.92413765
synthetic_tile_007,0.7127528,0.906617,0.3061261,0.50153077,-0.14194031,-0.5984492,0.44360277,0.9378795,0.8348374,0.9785464,0.90838116,0.22748595,-0.33830532,-0.06587441,-0.022874946,-0.5652245,0.3558508,-0.23504157,-0.36769128,0.6549863,-0.8331554,0.28683716,-0.9717981,-0.6320313,0.8211762,-0.68395454,0.8387437,-0.61959386,-0.78685755,0.013596501,0.40955302,0.007357204,0.86217314,0.9745576,0.9679799,-0.0026189329,0.6428425,0.880388,-0.8665151,0.7943619,0.28379324,0.9543181,0.34826618,0.9884965,0.9906252,0.45850518,-0.85389143,0.79737526,0.9430756,0.5818442,-0.98531514,-0.016331363,-0.976942,0.7601467,-0.82324964,0.66868174,0.8624322,-0.69576526,-0.6172153,-0.27066547,-0.36435243,0.3521716,-0.7893608,-0.7360813,-0.8139145,0.063095346,-0.24652138,-0.7383327,0.02839916,0.91139543,-0.8407465,-0.62469095,-0.4098779,0.5229464,0.8109538,-0.22246999,0.91961133,-0.22990401,-0.45905435,-0.9993485,0.58897674,0.83734584,-0.9640595,0.127086,-0.8621963,0.41279626,-0.8578483,-0.48470607,0.124144286,0.8946489,0.9265733,0.4289166,0.7287404,0.043034237,-0.18821205,-0.911725,-0.07866843,0.15863657,0.32823348,-0.6376577,-0.600353,0.20977637,0.48652816,0.060659293,-0.881168,0.12571919,-0.9285485,0.7326916,0.20031427,0.45235887,0.8584029,0.97246313,-0.44895482,0.97563815,0.85619724,-0.88698417,-0.9845776,-0.6253206,0.23532428,-0.8503174,-0.95155066,0.530093,0.5198685,-0.98590785,-0.16781981,0.5128457,0.7915319,-0.9162285
synthetic_tile_008,0.5704974,0.87968564,0.3890376,0.4029051,-0.12202226,-0.8007978,0.3238326,0.929722,0.844308,0.97848797,0.9182049,0.15414,-0.38268563,0.015911428,-0.13066551,-0.6623873,0.47160485,-0.37596917,-0.19245046,0.6417879,-0.75753546,0.20514706,-0.9851322,-0.64604425,0.8263583,-0.59504044,0.8694269,-0.6957042,-0.8358356,-0.018710934,0.4137042,-0.20510311,0.881896,0.97338736,0.975884,0.0064967256,0.8006837,0.9179581,-0.8823288,0.7817546,0.2783169,0.9787732,0.15050894,0.99016565,0.98958784,0.48737687,-0.8440734,0.85899556,0.9440691,0.5074189,-0.987752,-0.21922944,-0.9762278,0.74715436,-0.86413926,0.7064534,0.8816782,-0.6556445,-0.49631283,-0.2553403,-0.43131655,0.3177796,-0.83713895,-0.7566106,-0.74382454,-0.017136386,-0.26901582,-0.78270197,-0.10190724,0.84549683,-0.75130683,-0.69634324,-0.49205354,0.34946233,0.8646791,-0.37957403,0.9193918,-0.29010817,-0.49242374,-0.99959177,0.5521847,0.9233063,-0.9658346,0.19568707,-0.80799115,0.21986963,-0.8351833,-0.4179949,0.27516016,0.90196204,0.95077884,0.59512657,0.6642059,-0.036220755,-0.4942562,-0.9281824,-0.05787906,0.087799594,0.2739063,-0.73907053,-0.7326468,0.011110206,0.5349881,0.19369483,-0.87187296,0.26716712,-0.91309696,0.62395614,0.42180312,0.38409486,0.8698378,0.9803495,-0.45385832,0.97250545,0.80152106,-0.913779,-0.9885696,-0.7634821,0.36552808,-0.9062398,-0.96158516,0.64814556,0.39204487,-0.9845546,-0.27264762,0.49146342,0.72635466,-0.92505205
synthetic_tile_009,0.71105665,0.8998289,0.31857318,0.38622674,-0.19598939,-0.6515756,0.24309362,0.94370604,0.85477114,0.9721408,0.9014179,-0.06556248,-0.2087702,-0.25050357,0.1238211,-0.56610906,0.41270313,-0.2984369,-0.30846146,0.7014841,-0.8434415,0.494963,-0.95804167,-0.752768,0.82394385,-0.6673647,0.7867288,-0.7192622,-0.8043858,0.055237874,0.32405713,0.13439108,0.8861151,0.9747327,0.9805091,-0.14184433,0.6822354,0.91935253,-0.85850626,0.7006452,0.12698722,0.9748108,0.07606027,0.9824985,0.99088335,0.30934232,-0.8540848,0.8258479,0.9300739,0.3860921,-0.9804028,0.061497822,-0.9815606,0.78249073,-0.74311996,0.56614846,0.85438436,-0.7987412,-0.57851195,-0.31131154,-0.15257883,0.21698308,-0.88328344,-0.65940607,-0.7619238,0.18990514,-0.19866608,-0.75987256,-0.07854881,0.82690865,-0.7407972,-0.7069824,-0.48981014,0.41649142,0.8560985,-0.16157025,0.93027055,-0.33955818,-0.39658478,-0.9994773,0.55169183,0.8798519,-0.97431386,0.10483032,-0.86257255,0.35321584,-0.8672584,-0.49832726,0.15381622,0.86290205,0.9446919,0.44899756,0.74922204,-0.09326987,-0.22124214,-0.89605814,-0.28839377,0.24557334,0.20043713,-0.7750039,-0.7728413,0.061787475,0.38156927,0.24815324,-0.8389921,-0.06055591,-0.8704616,0.72503304,0.26362506,0.6086576,0.86118543,0.9589192,-0.5039432,0.97335285,0.7941402,-0.90689707,-0.9901663,-0.7994889,0.15990376,-0.87504584,-0.9686278,0.39218256,0.2594923,-0.9873009,-0.3591863,0.23755938,0.68303394,-0.913268
