image_id,pca_1,pca_2
synthetic_tile_000,-6.3834743,2.0941472
synthetic_tile_001,-5.6622868,1.4529895
synthetic_tile_002,-6.761289,3.0059583
synthetic_tile_003,-7.020416,1.5243788
synthetic_tile_004,-6.6564546,2.5555248
synthetic_tile_005,-6.1343126,2.0054178
synthetic_tile_006,-6.280382,2.4736657
synthetic_tile_007,-5.79792,1.9538945
synthetic_tile_008,-6.7048783,0.65460885
synthetic_tile_009,-5.3396626,1.7786595
synthetic_tile_010,-7.422771,1.6952893
synthetic_tile_011,-6.526213,1.9799148
synthetic_tile_012,-6.2000833,1.5633857
synthetic_tile_013,-7.321996,2.5800247
synthetic_tile_014,-6.510801,2.3930879
synthetic_tile_015,-6.6927705,2.5433602
synthetic_tile_016,9.379683,-2.359093
synthetic_tile_017,12.651924,0.7731418
synthetic_tile_018,4.5596666,-4.682741
synthetic_tile_019,-6.474361,1.2870566
synthetic_tile_020,15.481364,4.6518526
synthetic_tile_021,1.1152837,-7.9485197
synthetic_tile_022,12.528693,1.8666689
synthetic_tile_023,1.5289407,-7.1434736
synthetic_tile_024,-2.1618948,-3.4206715
synthetic_tile_025,2.9708672,-6.574079
synthetic_tile_026,-0.58089435,-7.81799
synthetic_tile_027,0.029035257,-9.627507
synthetic_tile_028,4.9058723,-4.4947433
synthetic_tile_029,15.138224,5.4114666
synthetic_tile_030,14.732545,4.8635015
synthetic_tile_031,17.610764,2.9608228
